vege_name,state,unit,date,max_price,average_price,min_price
Highland round cabbage,"KINTA, PERAK",KILOGRAM,9/6/2022,5,4.5,4.5
Highland round cabbage,"PERLIS, PERLIS",KILOGRAM,9/6/2022,0,0,0
Highland round cabbage,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,4.5,4.5,4.5
Highland round cabbage,"KLANG, SELANGOR",KILOGRAM,9/6/2022,4,3.9,3.8
Highland round cabbage,"PETALING, SELANGOR",KILOGRAM,9/6/2022,5.5,5.5,5.5
Highland round cabbage,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,5,5,4
Highland round cabbage,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,6.2,6,6
Highland round cabbage,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,0,0,0
Highland round cabbage,"SIBU, SARAWAK",KILOGRAM,9/6/2022,0,0,0
Highland round cabbage,"MIRI, SARAWAK",KILOGRAM,9/6/2022,6,6,6
Highland round cabbage,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,5,5,5
Highland round cabbage,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,6,5.5,5
choy sum,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,6,5.75,5.5
choy sum,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,6.5,6,6
choy sum,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,4.5,4,4
choy sum,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,5.5,5.25,5
choy sum,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,6,5.75,5.5
choy sum,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,8,8,7
choy sum,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,6,5,4.5
choy sum,"KINTA, PERAK",KILOGRAM,9/6/2022,5,5,5
choy sum,"PERLIS, PERLIS",KILOGRAM,9/6/2022,6,6,6
choy sum,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,4.5,4.25,4
choy sum,"KLANG, SELANGOR",KILOGRAM,9/6/2022,6,5.5,5
choy sum,"PETALING, SELANGOR",KILOGRAM,9/6/2022,5,5,5
choy sum,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,7,6,5
choy sum,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,7.5,7,7
choy sum,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,12,12,12
choy sum,"SIBU, SARAWAK",KILOGRAM,9/6/2022,8.9,8.9,8.9
choy sum,"MIRI, SARAWAK",KILOGRAM,9/6/2022,15,15,15
